stateβ β!β"β#β$β%β&β'β(β)β*β+β,β-β.β/β0β1β2β3β4β5β6β7β8β9β:β;β<β=β>β?β@βAβBβCβDβEβFβGβHβIβJβKβLβMβNβOβPβQβRβSβTβUβVβWβXβYβZβ[β\β]β^β_β`βaβbβcβdβeβfβgβhβiβjβkβlβmβnβoβpβqβrβsβtβuβvβwβxβyβzβ{β|β}β~β¢β£β§β¨βªβ¬β°β²β³β´β¹βºβÁβÂβÃβÉβÊβÍβÓβÔβÕβÚβÜβáβâβãβçβéβêβíβóβôβõβúβüβŋβτβ⁰β⁴β⁵β⁶β⁷β⁸β⁹β
0β22β158β158β24β158β31β158β26β5β6β32β33β1β34β29β35β36β36β36β36β36β36β36β36β36β36β2β158β37β38β39β158β158β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β3β158β4β40β25β158β41β42β43β44β45β46β25β25β47β25β25β48β25β49β50β51β25β52β53β54β25β55β25β56β25β25β7β158β8β158β158β158β158β158β158β158β158β158β158β158β158β158β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β25β23β22β158β158β158β158β158β158β158β
δ,δ 1β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ:δ 2β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ[δ 3β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ]δ 4β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ(δ 5β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ)δ 6β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ{δ 7β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ}δ 8β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
δ==δ 9β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β158β
